"vn_id","developers"
v1,"[""p1""]"
v10,"[""p104"", ""p11""]"
v100,"[""p10""]"
v1000,"[""p85""]"
v10000,"[""p341""]"
v10001,"[""p1145""]"
v10002,"[""p2681""]"
v10003,"[""p463""]"
v10004,"[""p2365""]"
v10005,"[""p2226""]"
v10006,"[""p412""]"
v10007,"[""p2683""]"
v10008,[]
v10009,"[""p796""]"
v1001,"[""p85""]"
v10010,"[""p1403""]"
v10011,"[""p959""]"
v10012,"[""p949""]"
v10013,"[""p2219""]"
v10014,"[""p343""]"
v10015,"[""p304""]"
v10016,"[""p1386""]"
v10017,"[""p3612""]"
v10018,"[""p2684""]"
v10019,"[""p182""]"
v1002,"[""p336""]"
v10020,"[""p517""]"
v10021,"[""p36""]"
v10022,"[""p724""]"
v10023,"[""p959""]"
v10024,"[""p1487""]"
v10025,"[""p2775""]"
v10026,"[""p2685""]"
v10027,"[""p2686""]"
v10028,"[""p612""]"
v10029,"[""p339""]"
v1003,"[""p760""]"
v10030,"[""p1515""]"
v10031,"[""p4230""]"
v10032,"[""p2688""]"
v10033,"[""p2689""]"
v10034,"[""p103""]"
v10035,"[""p412"", ""p88""]"
v10036,"[""p2690""]"
v10037,"[""p2198""]"
v10039,[]
v1004,"[""p894""]"
v10040,"[""p1303""]"
v10041,"[""p2693""]"
v10042,"[""p2694""]"
v10043,[]
v10044,"[""p77""]"
v10045,"[""p567""]"
v10046,"[""p352"", ""p5447""]"
v10047,"[""p2695""]"
v1005,"[""p1171""]"
v10050,"[""p2361"", ""p589""]"
v10051,"[""p2696""]"
v10052,"[""p3758""]"
v10053,"[""p1673""]"
v10054,"[""p1673""]"
v10055,"[""p2697""]"
v10056,"[""p2697""]"
v10057,"[""p2697""]"
v10058,"[""p2698""]"
v10059,"[""p1019""]"
v1006,"[""p763""]"
v10060,"[""p26094""]"
v10061,"[""p1684""]"
v10062,"[""p1684""]"
v10063,"[""p2019""]"
v10064,"[""p3758""]"
v10066,"[""p750""]"
v10067,"[""p1379""]"
v10068,"[""p2299""]"
v10069,"[""p964""]"
v1007,"[""p465""]"
v10071,"[""p764""]"
v10072,"[""p2700""]"
v10073,"[""p314""]"
v10074,"[""p1939""]"
v10075,"[""p1618""]"
v10076,"[""p661""]"
v10077,"[""p181""]"
v10078,"[""p1224""]"
v10079,"[""p709""]"
v1008,"[""p470""]"
v10080,"[""p1954""]"
v10081,"[""p1973""]"
v10082,"[""p986""]"
v10083,"[""p532""]"
v10085,"[""p341""]"
v10086,"[""p2701""]"
v10087,"[""p531""]"
v10088,"[""p1937""]"
v10089,"[""p2269""]"
v1009,"[""p471""]"
v10090,"[""p1601""]"
v10091,"[""p589""]"
v10092,"[""p828""]"
v10093,"[""p2386""]"
v10094,"[""p2330""]"
v10095,"[""p2719""]"
v10096,"[""p2704""]"
v10097,"[""p2703""]"
v10098,"[""p2361"", ""p589""]"
v10099,"[""p1873""]"
v101,"[""p44""]"
v1010,"[""p12694"", ""p30""]"
v10100,"[""p716""]"
v10101,"[""p2244""]"
v10102,"[""p2107""]"
v10103,"[""p1413""]"
v10104,"[""p388""]"
v10105,"[""p388""]"
v10106,"[""p2318""]"
v10107,"[""p2318""]"
v10108,"[""p2707""]"
v10109,"[""p2708""]"
v1011,"[""p409""]"
v10110,"[""p3271""]"
v10111,"[""p1733""]"
v10112,"[""p553""]"
v10113,"[""p1707""]"
v10115,"[""p589""]"
v10116,"[""p2330""]"
v10117,"[""p949""]"
v10118,"[""p2330""]"
v10119,"[""p1759""]"
v1012,"[""p472""]"
v10120,"[""p461""]"
v10121,"[""p461""]"
v10122,"[""p461""]"
v10123,"[""p2711""]"
v10124,"[""p1698""]"
v10125,"[""p1824""]"
v10126,"[""p1824""]"
v10127,"[""p2712""]"
v10128,"[""p786""]"
v10129,"[""p683""]"
v1013,"[""p472""]"
v10130,"[""p1839""]"
v10131,[]
v10132,"[""p2713""]"
v10133,"[""p1316""]"
v10134,"[""p651""]"
v10135,"[""p2714""]"
v10136,"[""p2715""]"
v10137,"[""p1953""]"
v10138,"[""p1948""]"
v10139,"[""p2170""]"
v1014,"[""p1588"", ""p473""]"
v10140,"[""p2716""]"
v10141,"[""p1219""]"
v10142,"[""p1472""]"
v10143,"[""p2717""]"
v10144,"[""p1848""]"
v10145,"[""p1228""]"
v10146,"[""p2718""]"
v10147,"[""p2720""]"
v10148,"[""p2226"", ""p3931""]"
v10149,"[""p2560""]"
v1015,"[""p1588"", ""p473""]"
v10152,"[""p2721""]"
v10153,"[""p103""]"
v10154,"[""p2722""]"
v10155,"[""p1893""]"
v10156,"[""p504""]"
v10157,"[""p103""]"
v10158,"[""p2723""]"
v10159,"[""p504""]"
v1016,"[""p2253""]"
v10160,"[""p384""]"
v10161,"[""p2724""]"
v10162,"[""p589""]"
v10163,"[""p270""]"
v10164,"[""p958""]"
v10165,"[""p1802""]"
v10166,"[""p1373""]"
v10167,"[""p1065""]"
v10168,"[""p1500"", ""p2039""]"
v10169,"[""p1379""]"
v1017,"[""p5358""]"
v10170,"[""p1042""]"
v10171,"[""p1090""]"
v10172,"[""p837""]"
v10173,"[""p1502""]"
v10174,"[""p2718""]"
v10175,"[""p1601""]"
v10176,"[""p1043""]"
v10177,"[""p560""]"
v10178,"[""p2727""]"
v10179,"[""p2728""]"
v10180,"[""p988""]"
v10181,"[""p988""]"
v10182,"[""p29""]"
v10183,"[""p210""]"
v10184,"[""p2729""]"
v10185,"[""p144""]"
v10186,"[""p339""]"
v10187,"[""p1590""]"
v10188,"[""p1590""]"
v10189,"[""p2730""]"
v1019,"[""p476""]"
v10190,"[""p2731""]"
v10191,"[""p2650""]"
v10192,"[""p54""]"
v10193,"[""p801""]"
v10194,"[""p837""]"
v10195,"[""p2732""]"
v10196,"[""p2733""]"
v10197,"[""p1648""]"
v10198,"[""p2734""]"
v10199,"[""p2636""]"
v102,"[""p42""]"
v1020,"[""p989""]"
v10200,"[""p2735""]"
v10202,"[""p2735""]"
v10203,"[""p1065""]"
v10204,"[""p2027""]"
v10205,"[""p2737""]"
v10206,"[""p212"", ""p233""]"
v10207,"[""p1348""]"
v10208,"[""p802""]"
v10209,"[""p839""]"
v1021,"[""p403""]"
v10210,"[""p1224""]"
v10211,"[""p2968""]"
v10212,"[""p2738""]"
v10213,"[""p461""]"
v10214,"[""p465""]"
v10215,"[""p461""]"
v10216,"[""p254""]"
v10217,"[""p2739""]"
v10218,"[""p303""]"
v10219,"[""p3022""]"
v1022,"[""p334""]"
v10220,"[""p171""]"
v10221,"[""p342""]"
v10222,"[""p1975""]"
v10223,"[""p2740""]"
v10224,"[""p2107""]"
v10225,"[""p918""]"
v10226,"[""p531""]"
v10227,"[""p230""]"
v10228,"[""p1601""]"
v10229,"[""p2741""]"
v1023,"[""p135""]"
v10230,"[""p6450""]"
v10231,"[""p146"", ""p931""]"
v10232,"[""p504""]"
v10233,"[""p1698""]"
v10234,"[""p651""]"
v10235,"[""p2742""]"
v10236,"[""p2743""]"
v10237,"[""p129""]"
v10238,"[""p336""]"
v10239,"[""p2744"", ""p305""]"
v1024,"[""p477""]"
v10240,"[""p144""]"
v10241,"[""p1542""]"
v10242,"[""p2745""]"
v10243,"[""p4236""]"
v10244,"[""p273""]"
v10245,"[""p2746""]"
v10246,"[""p2746""]"
v10247,"[""p2746""]"
v10248,"[""p2747""]"
v10249,"[""p1412""]"
v1025,"[""p27""]"
v10251,"[""p2748""]"
v10252,"[""p2748""]"
v10253,"[""p2040""]"
v10254,"[""p2040""]"
v10255,"[""p388""]"
v10256,"[""p1704""]"
v10257,"[""p269""]"
v10258,"[""p724""]"
v10259,"[""p2749""]"
v10260,"[""p674""]"
v10261,"[""p2273""]"
v10262,"[""p5357""]"
v10263,"[""p1515""]"
v10264,"[""p1515""]"
v10265,"[""p1515""]"
v10266,"[""p2064""]"
v10267,"[""p378""]"
v10268,"[""p4294""]"
v10269,"[""p269""]"
v1027,"[""p29""]"
v10270,"[""p2750""]"
v10271,"[""p119"", ""p647""]"
v10272,"[""p763""]"
v10273,"[""p6528"", ""p88""]"
v10274,"[""p796""]"
v10275,"[""p1219""]"
v10276,"[""p1602""]"
v10277,"[""p788""]"
v10278,"[""p2752""]"
v10279,"[""p2184""]"
v10280,"[""p1693""]"
v10281,"[""p1891""]"
v10282,"[""p332""]"
v10283,"[""p189""]"
v10284,"[""p1715""]"
v10285,"[""p709""]"
v10286,"[""p2754""]"
v10287,"[""p9848""]"
v10288,"[""p2015""]"
v10289,"[""p1078""]"
v1029,"[""p289""]"
v10290,"[""p1345""]"
v10291,"[""p2756""]"
v10292,"[""p2079""]"
v10293,"[""p2760""]"
v10294,"[""p2760""]"
v10295,"[""p2761""]"
v10296,"[""p2667""]"
v10297,"[""p103""]"
v10298,"[""p1396""]"
v10299,"[""p2762""]"
v103,"[""p15""]"
v1030,"[""p3400""]"
v10300,"[""p533""]"
v10301,"[""p2763""]"
v10302,"[""p2222""]"
v10303,"[""p2764""]"
v10304,"[""p10""]"
v10305,"[""p1502""]"
v10306,"[""p1143""]"
v10307,"[""p2763""]"
v10308,"[""p1082""]"
v10309,"[""p674""]"
v1031,"[""p317""]"
v10310,"[""p3762""]"
v10311,"[""p1754""]"
v10312,"[""p1997""]"
v10314,"[""p5004""]"
v10315,"[""p796""]"
v10316,"[""p1601""]"
v10317,"[""p9734""]"
v10318,"[""p1978""]"
v10319,"[""p2768""]"
v1032,"[""p479""]"
v10320,"[""p4629""]"
v10321,"[""p2769""]"
v10322,"[""p384""]"
v10323,"[""p5796""]"
v10324,"[""p200""]"
v10325,"[""p2770""]"
v10326,"[""p2771""]"
v10327,"[""p1487""]"
v10328,"[""p531""]"
v10329,"[""p206""]"
v1033,[]
v10330,"[""p1219"", ""p764""]"
v10331,"[""p1026""]"
v10332,"[""p2173""]"
v10333,"[""p53""]"
v10334,"[""p10360""]"
v10335,"[""p8967""]"
v10336,"[""p384""]"
v10337,"[""p1770""]"
v10338,"[""p1889""]"
v10339,"[""p1493""]"
v1034,[]
v10340,"[""p796""]"
v10341,"[""p106""]"
v10342,"[""p673""]"
v10343,"[""p1127""]"
v10344,"[""p2777""]"
v10345,"[""p2776""]"
v10346,"[""p1455"", ""p2708""]"
v10347,"[""p2276""]"
v10349,"[""p1542""]"
v1035,"[""p480""]"
v10350,"[""p1552"", ""p7329""]"
v10351,"[""p481""]"
v10352,"[""p319""]"
v10353,"[""p538""]"
v10354,"[""p650""]"
v10355,"[""p560""]"
v10356,"[""p1953""]"
v10357,"[""p918""]"
