"id","vid","relation","official"
v1,v9650,char,true
v2,v29,char,true
v2,v5134,seq,false
v2,v5135,seq,false
v3,v446,char,true
v3,v7721,seq,true
v3,v26075,char,true
v3,v33944,char,true
v4,v12,seq,true
v4,v869,char,false
v4,v4060,side,true
v4,v5698,seq,false
v4,v7983,preq,false
v4,v8324,char,false
v4,v10058,side,false
v4,v11057,char,false
v4,v16901,side,false
v4,v21002,char,false
v4,v23354,side,false
v4,v25142,set,false
v4,v27548,side,false
v4,v28752,side,false
v4,v29951,side,false
v4,v42392,char,false
v4,v54298,seq,false
v5,v3079,fan,true
v5,v11567,side,true
v5,v19693,side,true
v7,v11,set,true
v7,v47,side,true
v7,v49,fan,true
v7,v165,side,true
v7,v2941,char,false
v7,v5398,char,false
v7,v7602,char,true
v7,v9314,side,false
v7,v11479,char,false
v7,v12243,preq,false
v7,v12462,side,false
v7,v13966,char,false
v7,v13968,char,false
v7,v13969,char,false
v7,v15765,char,false
v7,v17543,char,false
v7,v17909,alt,true
v7,v18513,char,false
v7,v18514,char,false
v7,v18516,char,false
v7,v18524,char,false
v7,v18525,char,false
v7,v18526,char,false
v7,v27541,char,false
v7,v28652,char,false
v7,v40147,char,false
v7,v47949,char,false
v7,v49584,char,false
v7,v49585,char,false
v7,v50014,alt,false
v7,v55371,char,false
v9,v1030,seq,true
v9,v35403,char,false
v10,v70,preq,true
v10,v16695,char,true
v10,v18738,preq,true
v10,v18739,ser,true
v11,v7,set,true
v11,v50,fan,true
v11,v777,set,true
v11,v5398,set,false
v11,v5647,seq,false
v11,v7555,char,false
v11,v7602,set,true
v11,v9339,char,false
v11,v9340,char,false
v11,v9341,char,false
v11,v9342,char,false
v11,v9343,char,false
v11,v9344,char,false
v11,v9345,char,false
v11,v9888,side,false
v11,v12243,preq,false
v11,v12463,fan,false
v11,v12706,fan,false
v11,v12779,preq,false
v11,v13288,side,false
v11,v14554,preq,false
v11,v14957,char,false
v11,v15808,preq,false
v11,v16202,char,false
v11,v18204,char,false
v11,v23380,char,false
v11,v29977,char,false
v11,v30132,ser,false
v11,v40698,fan,false
v11,v45083,preq,false
v11,v53084,char,false
v11,v53209,char,false
v11,v53550,char,false
v11,v57775,set,false
v11,v58467,ser,false
v11,v62117,char,false
v11,v62120,char,false
v11,v62123,char,false
v11,v62124,char,false
v12,v4,preq,true
v12,v5698,char,false
v13,v17,ser,true
v13,v247,ser,true
v13,v5950,ser,true
v14,v73,alt,true
v14,v1193,set,true
v14,v4215,set,true
v14,v14273,ser,true
v15,v6072,fan,true
v16,v16151,char,true
v17,v13,ser,true
v17,v248,ser,true
v17,v3794,seq,false
v17,v19373,alt,true
v18,v20,ser,true
v18,v184,ser,true
v18,v204,ser,true
v18,v446,char,true
v18,v5698,char,false
v18,v6113,fan,true
v18,v25243,char,false
v18,v27089,char,false
v18,v27398,alt,false
v18,v27592,char,false
v18,v27617,char,false
v18,v27618,char,false
v18,v28262,alt,false
v18,v30616,alt,true
v18,v39272,char,false
v18,v51542,char,false
v18,v53592,char,false
v18,v57522,char,false
v18,v58055,char,false
v19,v857,ser,true
v19,v5390,seq,true
v19,v21129,ser,true
v19,v29708,fan,true
v19,v49960,char,false
v20,v18,ser,true
v20,v90,side,true
v20,v204,ser,true
v20,v236,set,true
v20,v2964,fan,true
v20,v7721,char,true
v20,v9234,char,false
v20,v13926,char,false
v20,v13927,char,false
v20,v33943,fan,true
v20,v33944,fan,true
v20,v34029,char,false
v20,v38603,fan,false
v20,v47304,char,false
v20,v47312,char,false
v20,v47314,char,false
v20,v48785,side,false
v20,v52312,alt,false
v20,v53218,char,false
v20,v54548,char,false
v20,v54550,char,false
v20,v59481,set,false
v21,v446,char,true
v21,v47313,char,false
v22,v12416,ser,true
v24,v68,ser,true
v24,v2153,seq,true
v24,v5057,char,false
v24,v6264,alt,false
v24,v13973,char,false
v24,v21002,char,false
v24,v23649,char,false
v24,v24610,fan,false
v24,v31305,char,false
v24,v33017,char,false
v24,v33020,char,false
v24,v34252,char,false
v24,v37036,char,false
v24,v40346,char,false
v24,v47949,char,false
v24,v55324,alt,false
v24,v60545,par,false
v25,v263,fan,true
v25,v3794,char,false
v26,v74,preq,true
v26,v833,fan,true
v26,v2353,preq,true
v26,v18176,seq,true
v26,v27047,fan,true
v28,v201,seq,true
v28,v202,seq,true
v28,v590,char,true
v28,v6427,fan,true
v28,v8664,char,true
v28,v12525,side,true
v28,v24748,set,true
v28,v25725,seq,true
v28,v30216,char,true
v29,v2,char,true
v33,v869,char,false
v33,v1463,alt,false
v33,v3794,char,false
v33,v5698,char,false
v33,v6184,side,false
v33,v11058,side,false
v33,v11251,set,false
v33,v11252,char,false
v33,v12111,side,false
v33,v14025,side,false
v33,v14076,alt,false
v33,v20973,char,false
v33,v23001,side,false
v33,v27408,char,false
v33,v27629,char,false
v33,v27632,char,false
v33,v27634,side,false
v33,v28772,side,false
v33,v31030,alt,false
v33,v34306,char,false
v33,v37620,alt,false
v33,v38039,char,false
v33,v39180,char,false
v33,v39259,char,false
v33,v39260,char,false
v33,v39273,char,false
v33,v39866,side,false
v33,v39867,char,false
v33,v40146,char,false
v33,v40148,char,false
v33,v40151,preq,false
v33,v42392,char,false
v33,v47480,alt,false
v33,v47680,char,false
v33,v49801,char,false
v33,v53442,char,false
v33,v53443,char,false
v33,v55373,char,false
v33,v57522,char,false
v33,v58055,char,false
v33,v59372,par,false
v33,v59809,alt,false
v34,v5698,char,false
v34,v27747,preq,true
v35,v592,fan,true
v36,v869,char,false
v36,v11253,alt,false
v36,v11256,side,false
v36,v14020,alt,false
v36,v24844,alt,false
v36,v27407,side,false
v36,v27630,alt,false
v36,v28773,side,false
v36,v28789,preq,false
v36,v34306,seq,false
v36,v37084,side,false
v36,v37620,char,false
v36,v38039,char,false
v36,v42392,char,false
v36,v48020,char,false
v36,v53066,side,false
v36,v59389,par,false
v36,v59400,side,false
v37,v4777,char,true
v37,v28009,preq,true
v37,v28045,fan,true
v37,v28455,fan,true
v38,v34306,char,false
v38,v48322,side,false
v39,v239,side,true
v39,v744,char,true
v40,v744,char,true
v43,v128,seq,true
v43,v50859,char,false
v43,v50860,char,false
v45,v444,char,true
v45,v39292,char,true
v45,v46419,char,false
v47,v7,par,true
v49,v7,orig,true
v50,v11,orig,true
v50,v14408,char,false
v50,v59216,seq,false
v51,v670,ser,true
v51,v5698,char,false
v51,v6072,fan,true
v51,v14621,side,false
v51,v20973,side,false
v51,v20974,side,false
v51,v23001,side,false
v51,v27863,char,false
v51,v28771,alt,false
v51,v38039,char,false
v51,v50017,char,false
v51,v51542,set,false
v57,v84,fan,true
v57,v3095,set,true
v57,v20273,char,true
v60,v49837,ser,true
v60,v49839,ser,true
v67,v68,seq,true
v67,v951,char,false
v67,v2084,char,false
v67,v3895,set,false
v67,v12010,char,false
v67,v14600,alt,false
v67,v15618,side,false
v67,v15849,char,false
v67,v15850,char,false
v67,v23649,char,false
v67,v30824,alt,false
v67,v31157,side,true
v67,v32082,side,true
v67,v33274,set,false
v67,v36039,side,false
v67,v37253,char,false
v67,v47586,set,false
v67,v48120,char,false
v67,v53446,side,false
v67,v58807,side,false
v67,v60545,ser,false
v68,v24,ser,true
v68,v67,preq,true
v68,v69,fan,true
v68,v12703,char,false
v68,v15523,fan,true
v68,v21482,seq,false
v68,v26390,fan,true
v68,v31157,side,true
v68,v42278,side,true
v69,v68,orig,true
v70,v10,seq,true
v70,v1542,seq,true
v70,v18736,side,true
v70,v18739,ser,true
v71,v514,char,false
v71,v5072,fan,true
v71,v6463,char,true
v73,v14,alt,true
v73,v7751,alt,true
v74,v26,seq,true
v74,v76,fan,true
v74,v77,seq,true
v74,v18176,alt,true
v74,v27047,fan,true
