"id","lang","official","title","latin"
v1,en,true,Let's Meow Meow!,
v1,ja,true,みんなでニャンニャン,Minna de Nyan Nyan
v2,en,true,Kana -Little Sister-,
v2,ja,true,加奈～いもうと～,Kana ~Imouto~
v2,vi,false,Kana ~Em gái tôi~,
v2,zh-Hans,false,加奈…欢迎回来!!,Jianai... Huanying Huilai!
v3,en,false,Utawarerumono,
v3,ja,true,うたわれるもの,Utawarerumono
v3,ko,false,칭송받는 자,Chingsongbanneun Ja
v3,zh-Hans,false,传颂之物,Chuansong zhi Wu
v3,zh-Hant,false,受讚頌者,Shouzansongzhe
v4,en,true,CLANNAD,
v4,ja,true,CLANNAD,
v4,ko,true,클라나드,CLANNAD
v4,zh-Hans,true,CLANNAD,
v5,en,true,Little Busters!,
v5,es,false,Little Busters!,
v5,ja,true,リトルバスターズ！,Little Busters!
v5,ko,false,리틀 버스터즈!,Little Busters!
v5,ru,false,Маленькие проказники!,Malen'kie prokazniki!
v5,zh-Hans,false,Little Busters!,
v6,en,false,Kira -snowdrop-,
v6,fr,false,Kira ~ Fleur des neiges,
v6,ja,true,雪花 -きら-,Yukibana -Kira-
v7,ja,true,月姫,Tsukihime
v7,zh-Hans,false,月姫,Yueji
v8,de,false,Nachklang eines Mittsommertags,
v8,en,false,A Midsummer Day's Resonance,
v8,es,false,La resonancia de un día de verano,
v8,ja,true,夏の日のレザナンス,Natsu no Hi no Resonance
v8,ru,false,Летний Резонанс,Letnij Rezonans
v8,ta,false,Resonance sa Araw ng Tag-init,
v9,en,true,Bible Black - The Game,
v9,ja,true,Bible Black -La noche de walpurgis-,
v9,zh-Hans,false,黑暗圣经,Hei'an Shengjing
v10,ja,true,narcissu,
v10,zh-Hans,false,水仙,shuixian
v11,ja,true,Fate/stay night,
v12,en,true,Tomoyo After ~It's a Wonderful Life~,
v12,ja,true,智代アフター ～It’s a Wonderful Life～,Tomoyo After ~It's a Wonderful Life~
v12,zh-Hans,false,智代After ～It's a Wonderful Life～,Tomoyo After ～It's a Wonderful Life～
v13,ja,true,Remember11 -the age of infinity-,
v13,zh-Hans,true,无限轮回的时光,Wuxian Lunhui de Shiguang
v13,zh-Hant,true,Remember11 時光的記憶,Remember11 -Shiguang de Jiyi-
v14,en,true,School Days,
v14,es,false,School Days,
v14,ja,true,School Days,
v14,ko,false,School Days,
v14,pl,false,School Days,
v14,ru,false,Школьные Дни,Shkol'nye Dni
v14,zh-Hans,true,School Days,
v14,zh-Hant,false,School Days,
v15,ja,true,MOON.,
v16,ja,true,ゆのはな,Yunohana
v16,ko,false,유노하나,Yunohana
v16,zh-Hant,true,雪之華,Xue zhi Hua
v17,en,true,Ever17 -out of infinity-,
v17,ja,true,Ever17 -the out of infinity-,
v17,zh-Hans,true,时空轮回,Shikong Lunhui
v17,zh-Hant,true,時光的羈絆,Shiguang de Jiban
v18,ja,true,To Heart,
v19,en,false,Heartthrob Memorial,
v19,ja,true,ときめきメモリアル,Tokimeki Memorial
v20,ja,true,ToHeart2,
v21,en,false,December when there is no angel,
v21,ja,true,天使のいない12月,Tenshi no Inai 12-gatsu
v21,ko,false,천사가 없는 12월,Cheonsaga Eomneun 12wol
v21,zh-Hans,false,天使不在的12月,Tianshi Buzai de 12 Yue
v22,ja,true,カタハネ,Katahane
v23,ja,true,いつか、届く、あの空に。,"Itsuka, Todoku, Ano Sora ni."
v23,zh-Hans,false,终有一日愿遂彼空,Zhong You Yiri Yuan Sui Bikong
v24,en,true,Umineko When They Cry - Question Arcs,
v24,ja,true,うみねこのなく頃に,Umineko no Naku Koro ni
v24,ru,false,Когда плачут чайки,Kogda plachut chajki
v24,zh-Hans,false,海猫鸣泣之时,Haimao Mingqi zhi Shi
v25,ja,true,AYAKASHI アヤカシ,Ayakashi
v26,ja,true,聖なるかな -The Spirit of Eternity Sword2-,Seinarukana -The Spirit of Eternity Sword 2-
v27,ja,true,セパレイトハーツ,Separate Hearts
v28,ja,true,SHUFFLE!,
v29,en,true,Crescendo,
v29,ja,true,Crescendo ～永遠だと思っていたあの頃～,Crescendo ~Eien da to Omotte Ita Ano Koro~
v29,ru,true,Crescendo: Прелести порока,Crescendo: Prelesti poroka
v30,en,true,Yo-Jin-Bo ~ The Bodyguards,
v30,ja,true,用心棒- ～運命のフロイデ～,Yo-Jin-Bo ~Unmei no Freude~
v31,en,true,Hitomi -My Stepsister-,
v31,ja,true,義妹・仁美,Gimai - Hitomi
v32,en,true,Hourglass of Summer,
v32,ja,true,夏色の砂時計,Natsuiro no Sunadokei
v33,en,true,Kanon,
v33,ja,true,Kanon,
v33,ko,false,카논,Kanon
v33,zh-Hans,true,Kanon,
v34,de,true,planetarian,
v34,en,true,planetarian ~Dream of Little Star~,
v34,es,true,planetarian,
v34,fr,true,planetarian,
v34,ja,true,planetarian ～ちいさなほしのゆめ～,planetarian ~Chiisana Hoshi no Yume~
v34,ko,false,planetarian ~작은 별의 꿈~,Planetarian ~Jageun Byeorui Kkum~
v34,tr,false,Planetarian ~küçük bir gezegenin hülyası~,
v34,zh-Hans,true,planetarian～小小的星之梦～,planetarian ～Xiaoxiao de Xing Zhi Meng～
v34,zh-Hant,true,planetarian∼小小的星之夢∼,planetarian ～Xiaoxiao de Xing Zhi Meng～
v35,ja,true,Wind -a breath of heart-,
v36,en,true,AIR,
v36,es,false,AIR,
v36,ja,true,AIR,
v36,ko,false,Air,
v36,ru,false,Высь,Vys'
v36,zh-Hans,true,AIR,
v37,en,false,The Rotting Princess ~Euthanasia~,
v37,ja,true,腐り姫 ～euthanasia～,Kusarihime ~Euthanasia~
v37,ru,false,Принцесса порчи: Эвтаназия,Princessa porchi: Evtanazija
v37,zh-Hans,false,腐姫 ～euthanasia～,Fuji ~Euthanasia~
v38,en,true,Symphonic Rain,
v38,ja,true,シンフォニック＝レイン,Symphonic Rain
v38,vi,true,Mưa Giao Hưởng,
v38,zh-Hans,true,交响乐之雨,Jiaoxiangyue zhi Yu
v38,zh-Hant,true,交響樂之雨,Jiaoxiangyue zhi Yu
v39,en,false,"40 Days and 40 Nights of Rain",
v39,ja,true,"40日40夜の雨","40-nichi 40-ya no Ame"
v40,en,false,The noose,
v40,ja,true,The noose,
v41,en,true,Amusement Park,
v41,ja,true,ゆ・う・え・ん・ち,Yu-u-e-n-chi
v42,en,true,Day of Love,
v42,ja,true,恋ようび,Koiyoubi
v43,en,true,X-Change,
v43,ja,true,Xchange,
v43,ru,true,X-Change: Школьный роман,X-Change: Shkol'nyj roman
v44,en,true,Yume Miru Kusuri - A Drug That Makes You Dream,
v44,ja,true,ユメミルクスリ,Yume Miru Kusuri
v44,zh-Hant,true,夢見之藥,Mengjian zhi Yao
v45,en,true,Phantom of Inferno,
v45,ja,true,Phantom -PHANTOM OF INFERNO-,
v45,ko,true,팬텀 오브 인페르노,Phantom of Inferno
v46,en,true,The Sagara Family,
v46,ja,true,相楽さん家の悦楽ライフ♪,Sagara-sanchi no Etsuraku Life ♪
v47,ja,true,歌月十夜,Kagetsu Tooya
v47,zh-Hans,false,歌月十夜,Geyue Shiye
v48,en,true,RADICAL DREAMERS -Le Trésor Interdit-,
v48,ja,true,RADICAL DREAMERS -盗めない宝石-,RADICAL DREAMERS -Nusumenai Houseki-
v49,ja,true,月姫 PLUS-DISC,Tsukihime PLUS-DISC
v50,ja,true,Fate/hollow ataraxia,
v51,en,false,ONE ~To the Radiant Season~,
v51,es,false,One ~hacia una radiante estación~,
v51,ja,true,ONE ～輝く季節へ～,ONE ~Kagayaku Kisetsu e~
v51,ko,false,ONE ~빛나는 계절로~,ONE ~Binnaneun Gyejeollo~
v51,zh-Hans,false,ONE～光辉的季节～,ONE ~Guanghui de Jijie~
v52,en,false,Red Shift,
v52,ja,true,常世の星空,Tokoyo no Hoshizora
v53,en,true,OMGWTFOTL,
v53,ja,true,男土下座地獄,Otoko Dogeza Jigoku
v54,en,true,Figures of Happiness,
v54,ja,true,しあわせのかたち,Shiawase no Katachi
v55,ja,true,イシカとホノリ,Ishika to Honori
v56,en,true,Piece of Wonder,
v56,ja,true,ピースオブワンダー,Piece of Wonder
v57,en,true,Sharin no Kuni: The Girl Among the Sunflowers,
v57,ja,true,車輪の国、向日葵の少女,"Sharin no Kuni, Himawari no Shoujo"
v57,ko,false,"차륜의 나라, 해바라기의 소녀","Charyun-ui Nara, Haebaragi-ui Sonyeo"
v57,ru,false,"Страна Колес, Девочка-Подсолнух","Strana Koljos, Devochka-Podsolnuh"
v57,zh-Hans,false,车轮之国，向日葵的少女,"Chelun zhi Guo, Xiangrikui de Shaonv"
v58,en,false,Visions from the Other Side,
v58,ja,true,向日の夢,Mukou no Yume
v59,en,false,Shooting Star Hill,
v59,ja,true,星の降る丘,Hoshi no Furu Oka
v60,ja,true,藍より青し,Ai Yori Aoshi
v61,en,false,A Dream of Summer,
v61,ja,true,ヒトナツの夢,Hitonatsu no Yume
v62,en,false,Midsummer Haze,
v62,ja,true,真夏のかげろう,Manatsu no Kagerou
v63,ja,true,ドラゴニア,Dragonia
v64,en,true,Private Nurse,
v64,ja,true,プライベートナース,Private Nurse
v64,ru,true,Private Nurse: Любовные процедуры,Private Nurse: Ljubovnye procedury
v65,ja,true,舞-HiME 運命の系統樹,Mai-HiME - Unmei no Keitouju
v66,en,true,CROSS†CHANNEL,
v66,ja,true,CROSS†CHANNEL,
v66,zh-Hans,false,CROSS†CHANNEL,
v67,en,true,Higurashi When They Cry - Question Arcs,
v67,fr,true,Le sanglot des cigales ~cycle des énigmes~,
v67,it,false,Higurashi - Quando piangono le cicale - Archi di domanda,
v67,ja,true,ひぐらしのなく頃に,Higurashi no Naku Koro ni
v67,pl,false,Gdy zapłaczą cykady,
