"vid","votecount","votecount_rank"
v97,21771,1
v11,18166,2
v945,17717,3
v21905,17185,4
v2002,15715,5
v7014,14635,6
v24,12809,7
v5154,12493,8
v7679,12113,9
v211,11855,10
v93,10923,11
v4,10800,12
v92,10753,13
v7,10746,14
v3144,10537,15
v67,10216,16
v2153,10163,17
v1143,9028,18
v711,8859,19
v5,8847,20
v3112,8585,21
v17,8428,22
v34,8254,23
v751,8116,24
v18334,8085,25
v15538,7811,26
v810,7335,27
v68,7282,28
v17102,7134,29
v7738,7106,30
v12402,6832,31
v57,6736,32
v715,6642,33
v10,6594,34
v382,6328,35
v12849,6183,36
v716,6156,37
v9093,6115,38
v44,6038,39
v3,5803,40
v487,5705,41
v7809,5690,42
v1474,5619,43
v6540,5573,44
v16044,5499,45
v50,5472,46
v2016,5117,47
v5652,5116,48
v19073,4949,49
v6245,4868,50
v18872,4764,51
v14018,4718,52
v18713,4669,53
v66,4653,54
v7723,4616,55
v19829,4603,56
v777,4467,57
v14,4456,58
v20424,4381,59
v17763,4351,60
v22230,4173,61
v33,4118,62
v5657,4096,63
v21668,4013,64
v7771,3990,65
v28,3988,66
v717,3975,67
v8213,3826,68
v26532,3821,69
v21552,3813,70
v7724,3720,71
v3126,3672,72
v812,3605,73
v21852,3573,74
v548,3552,75
v1286,3550,76
v6710,3530,77
v2622,3515,78
v914,3476,79
v4806,3473,80
v22505,3437,81
v23740,3404,82
v5922,3391,83
v7853,3374,84
v19385,3350,85
v2632,3342,86
v47,3329,87
v21289,3322,88
v16640,3303,89
v26523,3299,90
v27448,3264,91
v16208,3221,92
v13,3100,93
v33493,3083,94
v26414,3080,95
v414,3065,96
v4028,3048,97
v11856,3042,98
v515,3038,99
v1306,2970,100
v7721,2952,101
v14022,2868,102
v29049,2850,103
v12,2817,104
v3770,2809,105
v88,2769,106
v18717,2768,107
v11849,2765,108
v17823,2722,109
v1719,2711,110
v14265,2645,111
v70,2629,112
v36,2619,113
v183,2614,114
v18636,2591,115
v10304,2590,116
v22899,2582,117
v9889,2579,118
v5916,2575,119
v1913,2555,120
v4037,2522,121
v264,2506,122
v17909,2465,123
v19444,2437,124
v7803,2407,125
v7602,2387,126
v20598,2384,127
v18397,2375,128
v369,2353,129
v8038,2310,130
v38,2304,131
v2368,2291,132
v49,2279,133
v27519,2279,133
v25366,2255,135
v562,2226,136
v903,2224,137
v5295,2204,138
v13046,2197,139
v5000,2181,140
v156,2181,140
v430,2165,142
v1194,2161,143
v8158,2158,144
v1896,2144,145
v1377,2141,146
v917,2130,147
v20599,2125,148
v6458,2121,149
v9,2073,150
v84,2058,151
v18498,2043,152
v18970,2020,153
v26987,2011,154
v10526,1995,155
v231,1989,156
v15473,1982,157
v9879,1974,158
v2,1969,159
v2047,1959,160
v31160,1952,161
v20228,1906,162
v266,1892,163
v15125,1857,164
v9124,1856,165
v10016,1847,166
v3947,1835,167
v17515,1829,168
v103,1814,169
v6639,1796,170
v165,1791,171
v7836,1784,172
v71,1783,173
v29724,1779,174
v417,1772,175
v10957,1770,176
v24717,1768,177
